salmon.id,Tag,FieldLength_mm,LabLength_mm,fish_mass,FultonCondition,PBTHatcheryAssignment,Year,otolith.width.mic,oe_ow,oe.julian.day,cap.julian.day,oceanres.d,ocean.growth,Basin,Station.Code,Sample.Date,Otolith_Category
38235,YES,168,161,50.5,1.065034149,Rapid River,2016,2490,2372.918525,126,151,25,4.683259,Snake,053016MC45,5/30/2016,4
38380,YES,159,151,43.5,1.082175965,Lookingglass,2016,2386.7,2196.748206,126,151,25,7.59807176,Snake,053016MC48,5/30/2016,4
44986,YES,161,152,42.7,1.023175788,Little White Salmon,2021,2357.4,2217.77,118,144,25.989,5.373,Mid,052421MC15,5/24/2021,4
45021,YES,152.94798,149,43.6,1.218583343,Carson,2021,2331.1,2186.784,118,144,25.556,5.647,Mid,052421MC15,5/24/2021,4
45058,YES,169,161,53.7,1.112536269,Dworshak,2021,2280.6,2067.927,119,144,24.992,8.51,Snake,052421MC16,5/24/2021,4
44503,YES,165.25902,161,47.4,1.050226171,Little White Salmon,2021,2378.9,2121.549,115,143,27.649,9.308,Mid,052321MC3,5/23/2021,4
44499,YES,144,137,31.8,1.06497554,Carson,2021,2203.6,2052.918,117,143,26.294,5.731,Mid,052321MC3,5/23/2021,4
37483,YES,186,179,70.3,1.092487587,Pahsimeroi,2016,2831.96,2717.20475,123,149,26,4.413663462,Snake,052816MC34,5/28/2016,4
38531,YES,185,176,71.1,1.122934452,Rapid River,2016,2538.16,2460.409029,125,151,26,2.990421962,Snake,053016MC50,5/30/2016,4
45024,YES,147.81838,144,38.5,1.191997692,Carson,2021,2320.9,2190.868,115,144,28.957,4.491,Mid,052421MC15,5/24/2021,4
45005,YES,162,157,50.8,1.194864511,Carson,2021,2417.5,2278.551,116,144,27.685,5.019,Mid,052421MC15,5/24/2021,4
45064,YES,154,145,36.8,1.007594173,Little White Salmon,2021,2339.3,2164.143,117,145,27.962,6.264,Mid,052521MC17,5/25/2021,4
44501,YES,150,148,40.1,1.188148103,Carson,2021,2370.1,2316.599,114,143,28.891,1.852,Mid,052321MC3,5/23/2021,4
44960,YES,160,151,46.3,1.130371075,Little White Salmon,2021,2362.9,2187.095,116,144,28.254,6.222,Mid,052421MC14,5/24/2021,4
44550,YES,136.53326,133,31.3,1.229784308,Carson,2021,2151.6,1984.152,116,143,27.235,6.148,Mid,052321MC3,5/23/2021,4
40628,YES,161,153,47.5,1.138193187,Rapid River,2018,2261.45,2179.053007,117,144,27,3.051740481,Snake,052418MC5,5/24/2018,4
39836,YES,168,162,51,1.075579041,Little White Salmon,2017,2212.1,2061.957466,117,144,27,5.560834593,Mid,052417MC9,5/24/2017,4
45106,YES,161,154,44.7,1.071099712,Carson,2021,2385.5,2279.592,117,145,27.762,3.815,Mid,052521MC19,5/25/2021,4
45112,YES,152,145,37.2,1.059283445,Little White Salmon,2021,2395.5,2206.862,118,145,27.383,6.889,Mid,052521MC19,5/25/2021,4
45466,YES,175,169,60.9,1.136326559,Walla Walla,2021,2599.9,2453.737,118,145,27.03,5.407,Mid,052521MC23,5/25/2021,4
36890,YES,151,145,31.4,0.912008321,Pahsimeroi,2016,2502.37,2424.675448,119,146,27,2.877576,Snake,052516MC12,5/25/2016,4
41014,YES,147,142,33.7,1.060908445,Pahsimeroi,2018,2499,2406.333732,119,146,27,3.432084,Snake,052618MC17,5/26/2018,4
40061,YES,154,150,34.4,0.941881571,Pahsimeroi,2017,2550,2381.7,119,146,27,6.233333333,Snake,052617MC27,5/26/2017,4
40056,NO,143,140,32.5,1.111412427,Wild,2017,2336.9,2154.029745,119,146,27,6.772972407,Wild,052617MC27,5/26/2017,4
44983,YES,150,147,40,1.185185185,Little White Salmon,2021,2332,2190.218,115,144,29.097,4.873,Mid,052421MC15,5/24/2021,4
44789,YES,175,168,56.6,1.056093266,Carson,2021,2351.9,2250.372,115,144,29.307,3.464,Mid,052421MC11,5/24/2021,4
36770,YES,155,151,36.1,0.969420254,Pahsimeroi,2016,2503.26,2427.371697,117,145,28,2.710296536,Snake,052416MC7,5/24/2016,4
45691,YES,191,182,80.7,1.158172948,Rapid River,2021,2688.2,2539.499,119,146,27.036,5.5,Snake,052621MC28,5/26/2021,4
37353,YES,166,161,49.2,1.075575362,McCall,2016,2485.7,2341.051341,120,148,28,5.166023536,Snake,052716MC28,5/27/2016,4
37444,YES,170,172,48.8,0.993283111,Rapid River,2016,2675.31,2584.435342,121,149,28,3.2455235,Snake,052816MC32,5/28/2016,4
37416,YES,153,149,39.3,1.097281986,Lookingglass,2016,2421.98,2239.151149,121,149,28,6.529601821,Snake,052816MC30,5/28/2016,4
45463,NO,170,154,57,1.160187258,Wild,2021,2494.6,2315.023,114,145,31.372,5.724,Wild,052521MC23,5/25/2021,4
44488,YES,155,150,39.6,1.063408371,Carson,2021,2274.9,2071.568,114,143,29.191,6.966,Mid,052321MC3,5/23/2021,4
40500,YES,163,158,45.8,1.057554257,Pahsimeroi,2018,2488.22,2417.703644,115,144,29,2.431598483,Snake,052418MC3,5/24/2018,4
39863,NO,147,139,37.6,1.183684125,Wild,2017,2068.8,1820.150879,115,144,29,8.574107621,Wild,052417MC11,5/24/2017,4
45643,YES,174,167,58.7,1.114269805,Little White Salmon,2021,2449.3,2233.619,115,146,30.511,7.069,Mid,052621MC27,5/26/2021,4
41016,YES,143,140,28.1,0.960944296,Pahsimeroi,2018,2382,2321.407006,117,146,29,2.089413586,Snake,052618MC17,5/26/2018,4
41148,YES,152,146,31.9,0.908364,Dworshak,2018,2284.59,2150.078721,117,146,29,4.638319966,Snake,052618MC22,5/26/2018,4
45069,YES,144,138,30.6,1.024787821,Parkdale,2021,2152.4,2021.402,115,145,29.726,4.407,Mid,052521MC17,5/25/2021,4
44570,YES,135.50734,132,29.5,1.185587346,Little White Salmon,2021,2346.5,2212.097,113,143,30.317,4.433,Mid,052321MC3,5/23/2021,4
39869,YES,143,136,32.4,1.107992749,Powell,2017,2297.7,2123.283682,114,144,30,5.813877267,Snake,052417MC12,5/24/2017,4
35156,YES,148,145,27.2,0.839042134,McCall,2015,2348.19,2218.77864,115,145,30,4.313712,Snake,052515MC11,5/25/2015,4
45603,YES,193,187,87.1,1.211563609,Cle Elum,2021,2743.5,2569.472,115,146,30.711,5.667,Mid,052621MC25,5/26/2021,4
38237,YES,147,142,27.5,0.865726456,Lookingglass,2016,2350.3,2167.463455,121,151,30,6.0945515,Snake,053016MC45,5/30/2016,4
45457,YES,190,185,76.8,1.119696793,Clearwater,2021,2714.9,2507.71,114,145,31.129,6.656,Snake,052521MC23,5/25/2021,4
44802,YES,161,152,41.1,0.984836594,Winthrop,2021,2524.4,2374.942,112,144,31.734,4.71,Upper,052421MC11,5/24/2021,4
45592,YES,166,160,48.7,1.064644718,Walla Walla,2021,2521.4,2377.025,114,146,31.969,4.516,Mid,052621MC25,5/26/2021,4
41071,YES,168,162,54.2,1.14306637,Dworshak,2018,2364.59,2213.000932,115,146,31,4.889969935,Snake,052618MC20,5/26/2018,4
37479,YES,175,168,54.348,1.014073461,Pahsimeroi,2016,2669.64,2589.662162,118,149,31,2.579930258,Snake,052816MC34,5/28/2016,4
38336,YES,141,135,28.3,1.009552912,Lookingglass,2016,2362.43,2184.555424,120,151,31,5.737889548,Snake,053016MC47,5/30/2016,4
40900,YES,177,172,59.2,1.067583648,McCall,2018,2479.18,2384.684488,113,145,32,2.95298475,Snake,052518MC13,5/25/2018,4
45483,YES,166.28494,162,54.7,1.189675665,Carson,2021,2443.6,2298.893,111,145,33.868,4.273,Mid,052521MC23,5/25/2021,4
40951,YES,145,138,31.7,1.039813055,Pahsimeroi,2018,2293.17,2149.597617,112,145,33,4.350678273,Snake,052518MC15,5/25/2018,4
40097,YES,155,148,38.7,1.039240059,Rapid River,2017,2471.6,2297.192742,113,146,33,5.285068424,Snake,052617MC28,5/26/2017,4
45211,NO,172,167,64.5,1.267577069,Wild,2021,2589.6,2282.035,111,145,33.782,9.104,Wild,052521MC20,5/25/2021,4
